Id,ActivityDate,TotalSteps,TotalDistance,TrackerDistance
1503960366,4/12/2016,13162,8.5,8.5
1503960366,4/13/2016,10735,6.96999979,6.96999979
1503960366,4/14/2016,10460,6.739999771,6.739999771
1503960366,4/15/2016,9762,6.28000021,6.28000021
1503960366,4/16/2016,12669,8.159999847,8.159999847
1503960366,4/17/2016,9705,6.480000019,6.480000019
1503960366,4/18/2016,13019,8.590000153,8.590000153
1503960366,4/19/2016,15506,9.880000114,9.880000114
1503960366,4/20/2016,10544,6.679999828,6.679999828
1503960366,4/21/2016,9819,6.340000153,6.340000153
1503960366,4/22/2016,12764,8.130000114,8.130000114
1503960366,4/23/2016,14371,9.039999962,9.039999962
1503960366,4/24/2016,10039,6.409999847,6.409999847
1503960366,4/25/2016,15355,9.800000191,9.800000191
1503960366,4/26/2016,13755,8.789999962,8.789999962
1503960366,4/27/2016,18134,12.21000004,12.21000004
1503960366,4/28/2016,13154,8.529999733,8.529999733
1503960366,4/29/2016,11181,7.150000095,7.150000095
1503960366,4/30/2016,14673,9.25,9.25
1503960366,5/1/2016,10602,6.809999943,6.809999943
1503960366,5/2/2016,14727,9.710000038,9.710000038
1503960366,5/3/2016,15103,9.659999847,9.659999847
1503960366,5/4/2016,11100,7.150000095,7.150000095
1503960366,5/5/2016,14070,8.899999619,8.899999619
1503960366,5/6/2016,12159,8.029999733,8.029999733
1503960366,5/7/2016,11992,7.710000038,7.710000038
1503960366,5/8/2016,10060,6.579999924,6.579999924
1503960366,5/9/2016,12022,7.71999979,7.71999979
1503960366,5/10/2016,12207,7.769999981,7.769999981
1503960366,5/11/2016,12770,8.130000114,8.130000114
1503960366,5/12/2016,0,0,0
1624580081,4/12/2016,8163,5.309999943,5.309999943
1624580081,4/13/2016,7007,4.550000191,4.550000191
1624580081,4/14/2016,9107,5.920000076,5.920000076
1624580081,4/15/2016,1510,0.980000019,0.980000019
1624580081,4/16/2016,5370,3.49000001,3.49000001
1624580081,4/17/2016,6175,4.059999943,4.059999943
1624580081,4/18/2016,10536,7.409999847,7.409999847
1624580081,4/19/2016,2916,1.899999976,1.899999976
1624580081,4/20/2016,4974,3.230000019,3.230000019
1624580081,4/21/2016,6349,4.130000114,4.130000114
1624580081,4/22/2016,4026,2.619999886,2.619999886
1624580081,4/23/2016,8538,5.550000191,5.550000191
1624580081,4/24/2016,6076,3.950000048,3.950000048
1624580081,4/25/2016,6497,4.21999979,4.21999979
1624580081,4/26/2016,2826,1.840000033,1.840000033
1624580081,4/27/2016,8367,5.440000057,5.440000057
1624580081,4/28/2016,2759,1.789999962,1.789999962
1624580081,4/29/2016,2390,1.549999952,1.549999952
1624580081,4/30/2016,6474,4.300000191,4.300000191
1624580081,5/1/2016,36019,28.03000069,28.03000069
1624580081,5/2/2016,7155,4.929999828,4.929999828
1624580081,5/3/2016,2100,1.370000005,1.370000005
1624580081,5/4/2016,2193,1.429999948,1.429999948
1624580081,5/5/2016,2470,1.610000014,1.610000014
1624580081,5/6/2016,1727,1.120000005,1.120000005
1624580081,5/7/2016,2104,1.370000005,1.370000005
1624580081,5/8/2016,3427,2.230000019,2.230000019
1624580081,5/9/2016,1732,1.129999995,1.129999995
1624580081,5/10/2016,2969,1.929999948,1.929999948
1624580081,5/11/2016,3134,2.039999962,2.039999962
1624580081,5/12/2016,2971,1.929999948,1.929999948
1644430081,4/12/2016,10694,7.769999981,7.769999981
1644430081,4/13/2016,8001,5.820000172,5.820000172
1644430081,4/14/2016,11037,8.020000458,8.020000458
1644430081,4/15/2016,5263,3.829999924,3.829999924
1644430081,4/16/2016,15300,11.11999989,11.11999989
1644430081,4/17/2016,8757,6.369999886,6.369999886
1644430081,4/18/2016,7132,5.190000057,5.190000057
1644430081,4/19/2016,11256,8.180000305,8.180000305
1644430081,4/20/2016,2436,1.769999981,1.769999981
1644430081,4/21/2016,1223,0.889999986,0.889999986
1644430081,4/22/2016,3673,2.670000076,2.670000076
1644430081,4/23/2016,6637,4.829999924,4.829999924
1644430081,4/24/2016,3321,2.410000086,2.410000086
1644430081,4/25/2016,3580,2.599999905,2.599999905
1644430081,4/26/2016,9919,7.210000038,7.210000038
1644430081,4/27/2016,3032,2.200000048,2.200000048
1644430081,4/28/2016,9405,6.840000153,6.840000153
1644430081,4/29/2016,3176,2.309999943,2.309999943
1644430081,4/30/2016,18213,13.23999977,13.23999977
1644430081,5/1/2016,6132,4.460000038,4.460000038
1644430081,5/2/2016,3758,2.730000019,2.730000019
1644430081,5/3/2016,12850,9.340000153,9.340000153
1644430081,5/4/2016,2309,1.679999948,1.679999948
1644430081,5/5/2016,4363,3.190000057,3.190000057
1644430081,5/6/2016,9787,7.119999886,7.119999886
